* 통계표명 :,월별_매입자거주지별_아파트매매거래_동호수,,,,,,,,,,,,,,,,
* 수록기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 조회기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.09 21:51:48,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
지 역,,,매입자거주지,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
,,,관할시도외_기타,102,97,92,85,49,36,110,144,56,30,31,30,56,45
,서대문구,,합계,522,396,339,277,105,144,385,517,245,186,177,197,310,181
,,,관할시군구내,155,134,133,109,43,69,138,173,81,58,80,55,87,68
,,,관할시도내,247,157,126,107,44,47,178,243,126,95,65,105,162,80
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,120,105,80,61,18,28,69,101,38,33,32,37,61,33
,마포구,,합계,608,403,303,238,73,101,301,638,272,184,183,206,325,201
,,,관할시군구내,219,148,121,94,25,37,115,205,109,87,76,80,114,69
,,,관할시도내,242,145,119,93,31,37,111,248,119,72,73,88,138,89
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,147,110,63,51,17,27,75,185,44,25,34,38,73,43
,양천구,,합계,749,500,402,350,306,173,497,639,350,215,160,188,353,285
,,,관할시군구내,348,243,184,163,52,82,277,315,180,107,72,85,148,140
,,,관할시도내,232,142,123,112,228,49,137,206,120,69,58,69,129,92
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,169,115,95,75,26,42,83,118,50,39,30,34,76,53
,강서구,,합계,696,585,672,514,210,241,694,1297,594,387,319,288,513,406
,,,관할시군구내,352,280,319,227,84,112,327,612,281,180,159,131,233,183
,,,관할시도내,166,159,212,144,69,62,203,392,171,123,86,95,159,131
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,178,146,141,143,57,67,164,293,142,84,74,62,121,92
,구로구,,합계,632,570,650,572,227,308,684,844,326,273,231,343,488,300
,,,관할시군구내,278,231,260,282,103,124,267,361,142,108,92,92,168,87
,,,관할시도내,197,176,206,142,57,100,236,291,108,105,82,89,169,128
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,157,163,184,148,67,84,181,192,76,60,57,162,151,85
,금천구,,합계,207,166,163,282,82,85,176,289,118,105,59,77,279,98
,,,관할시군구내,105,86,66,88,38,39,80,167,48,46,19,37,57,37
,,,관할시도내,51,40,52,132,20,21,52,73,38,33,24,31,186,38
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,51,40,45,62,24,25,44,49,32,26,16,9,36,23
,영등포구,,합계,546,465,441,535,132,184,416,621,282,191,218,184,388,254
,,,관할시군구내,206,189,151,282,60,72,147,216,110,75,92,77,151,98
,,,관할시도내,180,151,154,157,42,69,167,238,118,70,73,72,152,95
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,160,125,136,96,30,43,102,167,54,46,53,35,85,61
,동작구,,합계,606,335,320,281,88,90,342,641,315,187,166,174,285,237
,,,관할시군구내,215,123,94,78,38,34,114,217,102,65,73,64,101,69
,,,관할시도내,253,129,153,127,34,29,143,298,150,86,75,76,134,106
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,138,83,73,76,16,27,85,126,63,36,18,34,50,62
,관악구,,합계,412,371,312,322,170,142,405,458,171,117,147,120,252,182
,,,관할시군구내,185,164,127,149,82,75,178,184,70,56,61,46,107,75
,,,관할시도내,106,106,90,94,45,31,134,160,65,41,55,53,96,77
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,121,101,95,79,43,36,93,114,36,20,31,21,49,30
,서초구,,합계,610,331,235,205,96,181,369,603,365,261,224,271,518,308
,,,관할시군구내,234,127,93,75,35,84,161,208,138,112,107,113,193,117
,,,관할시도내,234,132,77,77,42,49,127,265,151,106,65,100,208,131
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,142,72,65,53,19,48,81,130,76,43,52,58,117,60
,강남구,,합계,863,409,279,246,141,271,524,673,315,235,206,358,629,335
,,,관할시군구내,322,168,116,89,50,114,198,218,126,108,101,155,284,144
,,,관할시도내,322,120,81,80,40,68,182,284,117,83,60,93,193,110
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,219,121,82,77,51,89,144,171,72,44,45,110,152,81
,송파구,,합계,1127,581,397,343,147,237,741,1033,393,274,229,260,595,317
,,,관할시군구내,420,226,145,139,52,100,279,423,142,100,94,111,251,134
,,,관할시도내,382,180,134,107,57,88,269,337,159,109,78,82,204,104
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,325,175,118,97,38,49,193,273,92,65,57,67,140,79
,강동구,,합계,776,580,465,394,145,205,629,834,371,269,191,225,426,250
,,,관할시군구내,288,192,172,140,55,60,296,372,153,107,76,86,154,88
,,,관할시도내,288,209,178,152,49,105,193,295,134,96,79,96,185,113
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,200,179,115,102,41,40,140,167,84,66,36,43,87,49
부산,,,합계,7526,5349,4745,4289,3397,3885,6932,9455,4473,5596,7762,15964,9006,3136
,,,관할시군구내,3868,2755,2591,2387,1889,2180,3456,4742,2379,3063,4064,7732,4219,1556
,,,관할시도내,2215,1601,1447,1265,1118,1095,2124,3193,1431,1751,2507,5666,3152,1032
,,,관할시도외_서울,175,174,92,91,39,63,137,194,69,94,153,324,231,61
,,,관할시도외_기타,1268,819,615,546,351,547,1215,1326,594,688,1038,2242,1404,487
,중구,,합계,21,25,27,23,34,22,34,38,20,49,37,47,62,35
,,,관할시군구내,11,14,15,10,19,8,17,14,12,23,20,22,17,12
,,,관할시도내,7,8,10,9,10,8,10,20,6,18,12,21,38,15
,,,관할시도외_서울,2,2,1,1,0,0,0,1,0,1,1,1,3,3
,,,관할시도외_기타,1,1,1,3,5,6,7,3,2,7,4,3,4,5
