* 통계표명 :,월별_매입자거주지별_아파트매매거래_동호수,,,,,,,,,,,,,,,,
* 수록기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 조회기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.09 21:51:48,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
지 역,,,매입자거주지,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
,,,관할시도내,244,209,337,387,245,195,387,157,116,80,104,90,242,196
,,,관할시도외_서울,61,43,93,139,81,68,158,62,32,21,39,31,106,94
,,,관할시도외_기타,185,174,405,533,240,215,509,120,73,73,96,108,309,268
,남동구,,합계,681,848,1589,1886,925,826,1424,1039,576,455,597,566,827,982
,,,관할시군구내,341,494,811,878,460,406,829,678,371,269,328,306,390,487
,,,관할시도내,163,150,244,331,151,163,242,139,95,92,111,86,143,143
,,,관할시도외_서울,39,47,87,109,72,62,92,85,36,24,44,41,73,50
,,,관할시도외_기타,138,157,447,568,242,195,261,137,74,70,114,133,221,302
,부평구,,합계,983,926,1105,1698,830,827,1348,835,420,391,488,438,856,751
,,,관할시군구내,568,525,594,821,438,434,691,392,217,212,246,214,422,306
,,,관할시도내,125,121,148,210,124,118,198,128,51,60,65,61,119,88
,,,관할시도외_서울,95,77,97,179,69,90,153,107,51,50,68,63,118,141
,,,관할시도외_기타,195,203,266,488,199,185,306,208,101,69,109,100,197,216
,계양구,,합계,451,453,499,603,430,498,795,554,347,310,491,486,659,464
,,,관할시군구내,267,290,311,337,264,283,378,274,194,184,216,215,270,195
,,,관할시도내,73,63,77,116,78,98,132,92,59,56,81,61,104,72
,,,관할시도외_서울,51,38,41,51,25,30,68,72,41,23,63,86,109,72
,,,관할시도외_기타,60,62,70,99,63,87,217,116,53,47,131,124,176,125
,서구,,합계,946,1179,1464,1513,768,868,1534,783,532,472,639,643,1039,718
,,,관할시군구내,550,684,798,819,439,506,875,412,326,266,342,305,488,348
,,,관할시도내,171,203,232,245,128,141,261,159,77,75,90,95,165,98
,,,관할시도외_서울,80,95,131,130,57,69,140,79,48,54,78,87,150,98
,,,관할시도외_기타,145,197,303,319,144,152,258,133,81,77,129,156,236,174
,강화군,,합계,6,14,16,11,3,21,15,16,22,7,12,14,25,18
,,,관할시군구내,3,11,13,6,3,19,10,11,17,5,9,9,16,13
,,,관할시도내,1,1,2,4,0,0,0,1,1,0,1,1,2,0
,,,관할시도외_서울,0,2,1,1,0,1,2,1,0,1,1,1,4,2
,,,관할시도외_기타,2,0,0,0,0,1,3,3,4,1,1,3,3,3
광주,,,합계,2556,2335,2474,2267,1665,1666,2405,2804,1949,2297,2605,4946,4467,2024
,,,관할시군구내,1252,1323,1419,1359,1019,981,1379,1636,1229,1376,1469,2892,2198,1181
,,,관할시도내,535,625,641,543,407,415,561,679,422,454,649,1015,1055,454
,,,관할시도외_서울,43,40,36,32,21,36,34,53,33,32,35,84,109,46
,,,관할시도외_기타,726,347,378,333,218,234,431,436,265,435,452,955,1105,343
,동구,,합계,109,207,122,108,75,59,162,132,104,111,137,200,187,83
,,,관할시군구내,45,44,45,49,43,29,45,50,47,39,49,61,63,38
,,,관할시도내,36,152,58,34,21,18,56,62,29,41,57,79,71,26
,,,관할시도외_서울,0,2,3,4,0,2,3,1,7,2,4,3,7,1
,,,관할시도외_기타,28,9,16,21,11,10,58,19,21,29,27,57,46,18
,서구,,합계,530,483,593,496,370,345,445,629,387,467,541,804,964,408
,,,관할시군구내,267,287,353,287,219,187,258,351,231,279,296,379,396,188
,,,관할시도내,136,102,147,126,103,104,99,161,98,102,153,207,261,110
,,,관할시도외_서울,13,12,9,9,4,9,8,17,5,7,11,23,38,18
,,,관할시도외_기타,114,82,84,74,44,45,80,100,53,79,81,195,269,92
,남구,,합계,324,308,380,299,232,224,345,462,266,288,429,847,796,260
,,,관할시군구내,137,160,187,153,124,105,171,240,147,140,187,300,351,134
,,,관할시도내,92,92,129,98,69,76,87,128,70,61,126,233,200,68
,,,관할시도외_서울,9,10,4,2,2,4,4,6,1,3,6,26,22,5
,,,관할시도외_기타,86,46,60,46,37,39,83,88,48,84,110,288,223,53
,북구,,합계,687,682,718,703,531,548,764,810,606,714,741,1125,1278,658
,,,관할시군구내,394,431,425,443,334,353,459,499,395,432,458,675,690,395
,,,관할시도내,160,144,159,158,130,114,191,186,128,136,169,254,290,153
,,,관할시도외_서울,14,12,11,10,10,11,10,14,7,14,6,13,18,17
,,,관할시도외_기타,119,95,123,92,57,70,104,111,76,132,108,183,280,93
,광산구,,합계,906,655,661,661,457,490,689,771,586,717,757,1970,1242,615
,,,관할시군구내,409,401,409,427,299,307,446,496,409,486,479,1477,698,426
,,,관할시도내,111,135,148,127,84,103,128,142,97,114,144,242,233,97
,,,관할시도외_서울,7,4,9,7,5,10,9,15,13,6,8,19,24,5
,,,관할시도외_기타,379,115,95,100,69,70,106,118,67,111,126,232,287,87
대전,,,합계,4082,3089,3291,2899,2126,2204,5036,2005,1825,1538,1831,1603,2701,1954
,,,관할시군구내,2159,1642,1702,1531,974,1154,2544,985,961,836,980,821,1341,970
,,,관할시도내,1023,796,916,796,711,648,1412,492,406,388,489,422,702,542
,,,관할시도외_서울,113,91,101,83,48,55,153,73,54,44,52,49,102,57
,,,관할시도외_기타,787,560,572,489,393,347,927,455,404,270,310,311,556,385
,동구,,합계,541,329,412,449,346,349,570,239,191,186,214,216,328,263
,,,관할시군구내,319,175,231,231,175,183,236,121,96,88,97,100,149,120
,,,관할시도내,110,83,108,137,107,90,185,55,67,57,75,52,93,93
,,,관할시도외_서울,15,11,7,9,6,7,21,9,5,8,6,6,4,4
,,,관할시도외_기타,97,60,66,72,58,69,128,54,23,33,36,58,82,46
,중구,,합계,459,413,405,381,282,313,571,244,299,178,209,197,338,277
,,,관할시군구내,250,221,188,201,131,172,314,125,115,91,113,104,163,127
,,,관할시도내,126,106,130,103,83,86,148,53,50,52,52,50,96,90
,,,관할시도외_서울,6,12,17,11,5,7,20,12,9,8,11,8,16,8
,,,관할시도외_기타,77,74,70,66,63,48,89,54,125,27,33,35,63,52
,서구,,합계,1518,1236,1143,910,677,585,1516,719,536,568,609,536,949,647
,,,관할시군구내,843,661,598,502,307,325,845,357,296,315,345,292,507,335
,,,관할시도내,385,322,311,233,201,159,371,164,112,119,151,131,235,167
,,,관할시도외_서울,54,40,38,34,21,17,51,25,17,16,15,22,35,22
,,,관할시도외_기타,236,213,196,141,148,84,249,173,111,118,98,91,172,123
,유성구,,합계,1250,795,942,765,508,583,1834,546,577,425,548,448,801,568
,,,관할시군구내,607,422,487,407,215,292,892,257,316,234,298,237,397,296
,,,관할시도내,285,187,246,197,207,168,534,137,137,112,130,109,187,130
,,,관할시도외_서울,30,20,32,23,10,17,51,23,18,10,15,9,38,13
,,,관할시도외_기타,328,166,177,138,76,106,357,129,106,69,105,93,179,129
,대덕구,,합계,314,316,389,394,313,374,545,257,222,181,251,206,285,199
,,,관할시군구내,140,163,198,190,146,182,257,125,138,108,127,88,125,92
,,,관할시도내,117,98,121,126,113,145,174,83,40,48,81,80,91,62
,,,관할시도외_서울,8,8,7,6,6,7,10,4,5,2,5,4,9,10
,,,관할시도외_기타,49,47,63,72,48,40,104,45,39,23,38,34,60,35
울산,,,합계,2205,1900,2034,1391,974,1342,2322,2733,1356,1647,2085,4184,3534,1258
,,,관할시군구내,1227,1116,1251,827,593,807,1225,1543,816,1009,1213,2290,1917,776
,,,관할시도내,498,454,407,291,197,303,485,675,349,398,534,1063,977,317
,,,관할시도외_서울,49,24,39,26,10,23,63,65,22,26,32,79,71,15
,,,관할시도외_기타,431,306,337,247,174,209,549,450,169,214,306,752,569,150
,중구,,합계,375,363,471,283,182,251,461,484,232,287,392,770,587,182
,,,관할시군구내,194,229,324,169,88,153,203,255,148,143,213,411,314,112
,,,관할시도내,109,82,83,53,39,56,117,132,62,84,120,221,172,50
,,,관할시도외_서울,3,4,5,4,1,2,11,12,1,3,6,12,8,1
,,,관할시도외_기타,69,48,59,57,54,40,130,85,21,57,53,126,93,19
,남구,,합계,916,733,710,468,321,433,1043,1148,444,602,762,1598,1146,261
,,,관할시군구내,450,370,365,266,177,244,529,635,271,376,431,827,628,174
,,,관할시도내,173,161,144,79,69,93,180,259,97,128,164,383,293,52
,,,관할시도외_서울,31,17,20,18,4,15,35,34,14,16,18,41,30,4
,,,관할시도외_기타,262,185,181,105,71,81,299,220,62,82,149,347,195,31
,동구,,합계,139,151,165,141,105,114,185,209,116,127,154,385,442,178
,,,관할시군구내,103,111,115,103,76,85,118,132,80,95,103,218,229,114
,,,관할시도내,15,24,23,18,11,10,25,29,21,18,23,57,84,35
,,,관할시도외_서울,2,1,1,2,2,1,9,8,3,3,0,9,18,4
,,,관할시도외_기타,19,15,26,18,16,18,33,40,12,11,28,101,111,25
,북구,,합계,456,346,408,265,205,295,334,480,274,357,433,932,796,319
,,,관할시군구내,278,216,280,160,140,179,190,280,162,225,251,538,423,172
,,,관할시도내,119,95,84,78,47,84,85,135,76,99,137,263,251,104
,,,관할시도외_서울,8,0,4,1,1,1,3,4,1,1,4,13,11,4
,,,관할시도외_기타,51,35,40,26,17,31,56,61,35,32,41,118,111,39
,울주군,,합계,319,307,280,234,161,249,299,412,290,274,344,499,563,318
,,,관할시군구내,202,190,167,129,112,146,185,241,155,170,215,296,323,204
,,,관할시도내,82,92,73,63,31,60,78,120,93,69,90,139,177,76
,,,관할시도외_서울,5,2,9,1,2,4,5,7,3,3,4,4,4,2
,,,관할시도외_기타,30,23,31,41,16,39,31,44,39,32,35,60,59,36
세종,,,합계,1869,1649,1401,843,470,583,1566,1575,2110,588,513,402,1120,877
,,,관할시군구내,959,886,684,439,287,360,932,891,1540,356,345,211,620,430
,,,관할시도내,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_서울,47,45,60,30,11,22,55,67,64,28,16,23,65,205
,,,관할시도외_기타,863,718,657,374,172,201,579,617,506,204,152,168,435,242
,세종시,,합계,1869,1649,1401,843,470,583,1566,1575,2110,588,513,402,1120,877
,,,관할시군구내,959,886,684,439,287,360,932,891,1540,356,345,211,620,430
,,,관할시도내,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_서울,47,45,60,30,11,22,55,67,64,28,16,23,65,205
,,,관할시도외_기타,863,718,657,374,172,201,579,617,506,204,152,168,435,242
경기,,,합계,25095,24502,32381,28665,13735,16029,34199,31735,17799,16956,18905,19845,30495,20938
,,,관할시군구내,12152,11781,14571,13111,6592,7867,15159,15038,9286,8770,9532,9827,13331,9035
,,,관할시도내,6581,6795,9831,8276,3676,4033,9330,7771,4129,3919,4334,4437,8070,5654
,,,관할시도외_서울,3653,3258,4397,3982,2002,2422,5937,5740,3047,2910,3211,3431,5622,3936
,,,관할시도외_기타,2709,2668,3582,3296,1465,1707,3773,3186,1337,1357,1828,2150,3472,2313
,수원시,,합계,3327,3868,5280,1832,811,1148,2299,2553,1568,1435,1744,1643,3242,2690
,,,관할시군구내,1268,1482,1933,668,345,379,915,1207,871,853,925,992,1608,1385
,,,관할시도내,1294,1592,2204,774,327,391,856,936,505,380,560,432,1027,829
,,,관할시도외_서울,304,354,458,171,67,274,178,221,117,109,138,116,290,227
,,,관할시도외_기타,461,440,685,219,72,104,350,189,75,93,121,103,317,249
,,장안구,합계,423,725,1336,498,192,290,607,511,256,244,276,250,486,388
,,,관할시군구내,204,305,539,214,90,113,206,222,125,131,116,127,181,136
,,,관할시도내,140,285,529,181,64,122,163,187,86,65,107,82,189,162
,,,관할시도외_서울,40,65,114,55,18,27,39,64,25,27,40,26,73,55
,,,관할시도외_기타,39,70,154,48,20,28,199,38,20,21,13,15,43,35
,,권선구,합계,907,1110,1639,553,279,251,594,816,723,648,576,624,1139,941
,,,관할시군구내,341,430,576,188,131,107,255,440,503,477,363,477,686,566
,,,관할시도내,362,440,687,237,102,102,248,274,160,123,145,104,265,255
,,,관할시도외_서울,75,95,143,54,22,24,44,55,39,32,28,19,75,58
,,,관할시도외_기타,129,145,233,74,24,18,47,47,21,16,40,24,113,62
,,팔달구,합계,353,445,577,225,113,267,215,217,112,97,171,134,329,279
,,,관할시군구내,109,149,186,85,47,28,67,75,44,31,68,50,92,53
,,,관할시도내,187,224,297,99,57,35,108,104,52,45,80,59,159,120
,,,관할시도외_서울,28,36,45,15,4,192,26,17,11,11,14,10,35,27
,,,관할시도외_기타,29,36,49,26,5,12,14,21,5,10,9,15,43,79
,,영통구,합계,1644,1588,1728,556,227,340,883,1009,477,446,721,635,1288,1082
,,,관할시군구내,614,598,632,181,77,131,387,470,199,214,378,338,649,630
,,,관할시도내,605,643,691,257,104,132,337,371,207,147,228,187,414,292
,,,관할시도외_서울,161,158,156,47,23,31,69,85,42,39,56,61,107,87
,,,관할시도외_기타,264,189,249,71,23,46,90,83,29,46,59,49,118,73
,성남시,,합계,1986,1517,1202,1088,423,473,1389,2220,852,890,917,1003,1777,754
,,,관할시군구내,998,766,512,507,224,250,640,1055,392,486,561,557,945,370
,,,관할시도내,543,417,427,343,106,117,394,631,223,222,192,226,412,198
,,,관할시도외_서울,314,215,188,159,67,84,265,414,193,143,132,162,297,128
,,,관할시도외_기타,131,119,75,79,26,22,90,120,44,39,32,58,123,58
,,수정구,합계,247,150,145,128,59,55,147,186,98,104,91,100,175,74
,,,관할시군구내,83,49,37,44,30,22,49,44,27,26,28,22,30,17
,,,관할시도내,76,45,50,46,17,18,47,53,26,30,28,34,66,27
,,,관할시도외_서울,65,38,43,24,6,13,37,74,39,43,30,37,70,21
,,,관할시도외_기타,23,18,15,14,6,2,14,15,6,5,5,7,9,9
,,중원구,합계,263,189,239,190,68,64,167,311,128,127,126,124,167,115
,,,관할시군구내,107,82,94,78,24,25,61,100,40,44,44,47,48,47
,,,관할시도내,99,63,90,67,30,25,57,125,38,47,41,40,72,42
,,,관할시도외_서울,36,30,42,30,7,10,31,63,41,31,33,28,35,21
,,,관할시도외_기타,21,14,13,15,7,4,18,23,9,5,8,9,12,5
,,분당구,합계,1476,1178,818,770,296,354,1075,1723,626,659,700,779,1435,565
,,,관할시군구내,808,635,381,385,170,203,530,911,325,416,489,488,867,306
,,,관할시도내,368,309,287,230,59,74,290,453,159,145,123,152,274,129
,,,관할시도외_서울,213,147,103,105,54,61,197,277,113,69,69,97,192,86
,,,관할시도외_기타,87,87,47,50,13,16,58,82,29,29,19,42,102,44
,의정부시,,합계,628,651,878,1140,664,665,1259,973,660,642,723,748,1095,811
,,,관할시군구내,324,356,454,530,307,305,564,410,274,288,331,342,447,312
,,,관할시도내,90,90,117,247,135,118,236,139,91,87,89,105,161,115
,,,관할시도외_서울,140,146,227,247,154,188,353,368,264,237,265,252,408,325
,,,관할시도외_기타,74,59,80,116,68,54,106,56,31,30,38,49,79,59
,안양시,,합계,1572,1371,1795,1244,490,557,1529,1270,730,582,557,504,1232,869
,,,관할시군구내,787,654,868,546,255,289,645,560,327,253,250,241,504,347
,,,관할시도내,460,435,571,427,155,171,406,395,213,183,149,115,394,262
,,,관할시도외_서울,187,171,213,169,45,64,385,197,144,110,118,95,253,195
,,,관할시도외_기타,138,111,143,102,35,33,93,118,46,36,40,53,81,65
,,만안구,합계,514,502,512,302,161,179,335,321,202,204,192,205,370,247
,,,관할시군구내,261,270,285,146,87,117,170,160,93,89,93,100,177,110
,,,관할시도내,116,125,120,84,51,29,77,82,57,65,44,37,98,56
,,,관할시도외_서울,65,74,73,51,13,26,62,52,46,43,43,37,82,65
,,,관할시도외_기타,72,33,34,21,10,7,26,27,6,7,12,31,13,16
,,동안구,합계,1058,869,1283,942,329,378,1194,949,528,378,365,299,862,622
,,,관할시군구내,526,384,583,400,168,172,475,400,234,164,157,141,327,237
,,,관할시도내,344,310,451,343,104,142,329,313,156,118,105,78,296,206
,,,관할시도외_서울,122,97,140,118,32,38,323,145,98,67,75,58,171,130
,,,관할시도외_기타,66,78,109,81,25,26,67,91,40,29,28,22,68,49
,부천시,,합계,1193,1088,1457,1897,912,948,1630,1309,704,616,715,779,1155,838
,,,관할시군구내,771,697,879,1103,535,549,929,714,414,358,426,453,594,432
,,,관할시도내,101,95,168,243,102,89,222,154,69,68,73,68,141,98
,,,관할시도외_서울,162,151,203,261,128,170,269,242,137,128,149,164,257,187
,,,관할시도외_기타,159,145,207,290,147,140,210,199,84,62,67,94,163,121
,광명시,,합계,575,581,556,633,238,272,768,1000,326,239,213,163,359,293
,,,관할시군구내,291,292,275,297,115,155,349,463,148,107,97,67,147,96
,,,관할시도내,60,89,91,89,32,30,106,123,43,31,28,25,61,44
,,,관할시도외_서울,177,136,139,193,61,69,241,331,112,77,66,48,117,119
,,,관할시도외_기타,47,64,51,54,30,18,72,83,23,24,22,23,34,34
,평택시,,합계,517,562,890,1106,710,803,1636,809,574,640,832,794,1432,1134
,,,관할시군구내,283,323,490,551,399,415,699,405,324,339,415,376,566,476
,,,관할시도내,130,102,186,242,164,161,485,184,118,136,202,183,363,289
,,,관할시도외_서울,16,29,54,60,33,40,116,52,36,55,44,59,122,102
,,,관할시도외_기타,88,108,160,253,114,187,336,168,96,110,171,176,381,267
,동두천시,,합계,109,89,137,126,114,130,200,225,125,139,150,183,449,586
,,,관할시군구내,56,56,83,71,59,79,95,109,68,75,77,75,126,214
,,,관할시도내,27,13,25,33,30,34,50,44,27,31,26,57,163,172
,,,관할시도외_서울,22,15,18,16,19,14,36,54,26,26,24,41,90,126
,,,관할시도외_기타,4,5,11,6,6,3,19,18,4,7,23,10,70,74
,안산시,,합계,822,1022,1514,2005,862,1074,1749,690,417,480,533,476,905,951
,,,관할시군구내,419,556,736,928,384,475,787,305,189,207,259,219,411,388
,,,관할시도내,273,330,545,747,326,400,646,233,144,189,179,171,340,319
,,,관할시도외_서울,57,66,109,121,78,82,169,63,36,48,49,41,66,130
,,,관할시도외_기타,73,70,124,209,74,117,147,89,48,36,46,45,88,114
,,상록구,합계,286,385,575,734,349,438,740,396,192,218,233,236,376,379
,,,관할시군구내,149,214,290,336,160,211,311,176,90,107,107,114,191,171
,,,관할시도내,94,126,202,286,127,156,291,132,57,76,85,87,132,126
,,,관할시도외_서울,14,21,44,44,34,28,74,44,20,20,17,19,27,52
,,,관할시도외_기타,29,24,39,68,28,43,64,44,25,15,24,16,26,30
,,단원구,합계,536,637,939,1271,513,636,1009,294,225,262,300,240,529,572
,,,관할시군구내,270,342,446,592,224,264,476,129,99,100,152,105,220,217
,,,관할시도내,179,204,343,461,199,244,355,101,87,113,94,84,208,193
,,,관할시도외_서울,43,45,65,77,44,54,95,19,16,28,32,22,39,78
,,,관할시도외_기타,44,46,85,141,46,74,83,45,23,21,22,29,62,84
,고양시,,합계,2334,1916,1985,2018,1145,1445,4148,2855,1406,1175,1357,2078,3423,1734
,,,관할시군구내,980,876,910,871,496,656,1553,1158,599,491,592,829,1109,652
,,,관할시도내,597,432,500,501,296,333,1077,677,328,287,331,504,822,402
,,,관할시도외_서울,526,418,392,432,233,303,1041,730,377,320,326,551,1064,495
,,,관할시도외_기타,231,190,183,214,120,153,477,290,102,77,108,194,428,185
,,덕양구,합계,803,812,853,838,451,582,1359,1003,543,421,475,665,1149,786
,,,관할시군구내,356,399,423,437,205,284,589,445,257,185,225,296,420,355
,,,관할시도내,155,131,146,127,99,114,265,155,89,63,82,114,169,114
,,,관할시도외_서울,225,207,217,217,107,140,400,332,169,149,140,210,448,260
,,,관할시도외_기타,67,75,67,57,40,44,105,71,28,24,28,45,112,57
,,일산동구,합계,569,447,468,491,275,382,1033,691,319,284,363,507,836,402
,,,관할시군구내,224,208,219,194,109,165,335,271,123,118,153,173,265,141
,,,관할시도내,184,123,146,160,81,108,324,188,86,71,107,154,233,107
,,,관할시도외_서울,102,77,66,77,54,70,251,159,83,75,75,131,221,98
,,,관할시도외_기타,59,39,37,60,31,39,123,73,27,20,28,49,117,56
,,일산서구,합계,962,657,664,689,419,481,1756,1161,544,470,519,906,1438,546
,,,관할시군구내,400,269,268,240,182,207,629,442,219,188,214,360,424,156
,,,관할시도내,258,178,208,214,116,111,488,334,153,153,142,236,420,181
,,,관할시도외_서울,199,134,109,138,72,93,390,239,125,96,111,210,395,137
,,,관할시도외_기타,105,76,79,97,49,70,249,146,47,33,52,100,199,72
,과천시,,합계,90,23,18,12,6,16,42,56,20,19,17,29,114,61
,,,관할시군구내,19,9,3,3,4,5,8,7,6,3,5,9,41,15
,,,관할시도내,42,8,11,8,1,6,20,24,6,8,4,11,46,22
,,,관할시도외_서울,22,2,3,1,1,4,11,20,8,6,5,8,21,20
,,,관할시도외_기타,7,4,1,0,0,1,3,5,0,2,3,1,6,4
,구리시,,합계,397,440,558,460,139,150,268,413,202,154,149,112,239,199
,,,관할시군구내,200,226,265,225,59,76,127,185,86,59,62,41,88,68
,,,관할시도내,88,87,112,91,32,30,56,67,36,26,31,15,42,39
,,,관할시도외_서울,91,110,149,118,38,33,74,144,69,60,51,53,92,81
,,,관할시도외_기타,18,17,32,26,10,11,11,17,11,9,5,3,17,11
,남양주시,,합계,1145,1149,1669,2023,1073,1117,2624,2003,1034,875,931,989,1625,1361
,,,관할시군구내,571,605,889,962,519,568,1248,984,526,447,448,496,729,553
,,,관할시도내,186,173,261,429,181,197,459,329,161,129,144,141,251,236
,,,관할시도외_서울,292,289,387,490,279,263,663,535,282,248,286,278,516,425
,,,관할시도외_기타,96,82,132,142,94,89,254,155,65,51,53,74,129,147
,오산시,,합계,322,432,850,1004,437,596,1057,848,418,608,752,537,728,550
,,,관할시군구내,144,170,326,341,158,325,628,488,226,381,470,312,334,226
,,,관할시도내,116,162,371,468,194,192,311,245,137,160,173,146,248,219
,,,관할시도외_서울,27,15,55,60,38,30,41,39,23,30,25,28,62,41
,,,관할시도외_기타,35,85,98,135,47,49,77,76,32,37,84,51,84,64
,시흥시,,합계,754,923,1314,1598,834,929,1551,1019,578,612,674,650,1180,793
,,,관할시군구내,384,522,629,771,472,509,764,454,287,286,345,290,500,344
,,,관할시도내,187,196,328,431,193,246,414,292,151,175,155,156,311,219
,,,관할시도외_서울,80,82,134,179,84,75,170,148,81,94,97,116,215,133
,,,관할시도외_기타,103,123,223,217,85,99,203,125,59,57,77,88,154,97
,군포시,,합계,530,554,1202,1758,420,412,948,459,211,261,268,237,684,692
,,,관할시군구내,276,273,550,816,178,218,463,214,104,131,129,130,326,322
,,,관할시도내,153,188,377,582,148,119,271,136,55,64,69,54,174,176
,,,관할시도외_서울,57,45,144,174,54,41,131,59,39,47,41,38,115,142
,,,관할시도외_기타,44,48,131,186,40,34,83,50,13,19,29,15,69,52
,의왕시,,합계,469,486,701,364,151,360,307,341,160,139,143,143,421,298
,,,관할시군구내,192,190,269,153,57,293,115,131,52,57,57,67,145,99
,,,관할시도내,203,195,297,154,69,46,123,143,79,64,55,55,187,131
,,,관할시도외_서울,42,55,77,37,14,13,30,45,21,10,20,18,65,44
,,,관할시도외_기타,32,46,58,20,11,8,39,22,8,8,11,3,24,24
,하남시,,합계,582,402,396,315,121,148,488,1602,316,220,216,147,389,350
,,,관할시군구내,196,136,136,97,42,58,142,1109,108,64,65,34,79,90
,,,관할시도내,125,80,70,66,21,23,108,123,50,40,41,41,78,77
,,,관할시도외_서울,206,161,162,134,51,51,207,315,129,99,87,60,197,159
,,,관할시도외_기타,55,25,28,18,7,16,31,55,29,17,23,12,35,24
,용인시,,합계,2596,2618,4259,2564,1028,1229,2898,3309,1736,1479,1468,1687,2843,1624
,,,관할시군구내,1018,1043,1590,1028,410,551,1134,1276,673,537,549,564,918,519
,,,관할시도내,946,977,1605,918,357,416,1092,1244,681,581,585,567,1171,661
,,,관할시도외_서울,353,317,623,318,125,164,406,497,243,227,201,218,458,276
,,,관할시도외_기타,279,281,441,300,136,98,266,292,139,134,133,338,296,168
,,처인구,합계,214,228,417,379,258,276,419,449,283,347,298,325,442,334
,,,관할시군구내,105,132,175,177,122,149,214,200,110,152,132,135,158,94
,,,관할시도내,58,58,100,134,69,74,131,154,115,137,123,122,197,151
,,,관할시도외_서울,21,22,106,21,24,23,23,40,21,37,16,21,46,43
,,,관할시도외_기타,30,16,36,47,43,30,51,55,37,21,27,47,41,46
,,기흥구,합계,994,1086,1844,1301,492,582,1343,1449,789,567,555,596,1114,705
,,,관할시군구내,408,408,717,551,189,247,490,564,332,205,205,221,366,228
,,,관할시도내,357,449,725,463,179,219,555,564,314,226,230,249,477,288
,,,관할시도외_서울,126,104,211,136,56,78,171,191,85,79,64,78,149,120
,,,관할시도외_기타,103,125,191,151,68,38,127,130,58,57,56,48,122,69
,,수지구,합계,1388,1304,1998,884,278,371,1136,1411,664,565,615,766,1287,585
,,,관할시군구내,505,503,698,300,99,155,430,512,231,180,212,208,394,197
,,,관할시도내,531,470,780,321,109,123,406,526,252,218,232,196,497,222
,,,관할시도외_서울,206,191,306,161,45,63,212,266,137,111,121,119,263,113
,,,관할시도외_기타,146,140,214,102,25,30,88,107,44,56,50,243,133,53
,파주시,,합계,354,409,580,596,356,393,920,1267,1586,1582,1354,1885,1577,649
,,,관할시군구내,206,232,357,335,204,236,446,754,1279,1185,941,1157,835,475
,,,관할시도내,67,81,101,131,56,73,238,240,159,194,199,342,309,89
,,,관할시도외_서울,47,48,67,75,55,34,148,179,92,119,132,225,237,45
,,,관할시도외_기타,34,48,55,55,41,50,88,94,56,84,82,161,196,40
,이천시,,합계,158,190,192,178,126,166,241,344,193,213,207,235,306,297
,,,관할시군구내,108,133,141,126,86,117,157,164,140,159,137,148,154,163
,,,관할시도내,25,26,32,34,22,19,49,39,27,27,37,39,82,64
,,,관할시도외_서울,16,12,6,5,7,11,15,45,12,14,14,21,21,30
,,,관할시도외_기타,9,19,13,13,11,19,20,96,14,13,19,27,49,40
,안성시,,합계,332,197,259,344,244,279,497,547,205,233,316,335,614,527
,,,관할시군구내,102,103,131,181,117,115,217,266,112,133,150,127,243,210
,,,관할시도내,54,55,81,82,58,82,158,83,53,56,98,80,138,128
,,,관할시도외_서울,131,6,20,31,21,10,50,35,10,17,23,43,51,59
,,,관할시도외_기타,45,33,27,50,48,72,72,163,30,27,45,85,182,130
,김포시,,합계,1373,624,693,966,579,698,1974,2310,1439,1729,2373,1708,399,291
,,,관할시군구내,1046,276,285,348,236,260,717,896,715,797,1028,752,161,109
,,,관할시도내,77,64,83,186,104,107,366,349,189,231,290,212,48,38
,,,관할시도외_서울,160,167,217,236,146,201,537,666,357,468,649,505,128,110
,,,관할시도외_기타,90,117,108,196,93,130,354,399,178,233,406,239,62,34
,화성시,,합계,2196,2558,2926,2183,900,1068,2157,1843,1084,977,1147,1526,2667,1393
,,,관할시군구내,1137,1315,1312,1018,430,466,1079,992,598,529,597,910,1585,676
,,,관할시도내,550,718,974,722,306,398,693,559,315,296,358,392,672,470
,,,관할시도외_서울,121,156,208,140,66,66,126,106,77,60,94,85,156,104
,,,관할시도외_기타,388,369,432,303,98,138,259,186,94,92,98,139,254,143
,광주시,,합계,261,323,491,611,430,438,818,677,434,366,377,389,469,302
,,,관할시군구내,120,170,245,290,221,228,360,293,191,159,168,174,200,121
,,,관할시도내,83,92,168,200,129,141,302,223,151,120,124,120,164,103
,,,관할시도외_서울,38,36,52,73,61,43,110,101,66,69,51,72,70,53
,,,관할시도외_기타,20,25,26,48,19,26,46,60,26,18,34,23,35,25
