"○ 행정구역(시군구)별, 성별 인구수 []",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행정구역(시군구)별,항목,단위,2011. 01 월,2011. 02 월,2011. 03 월,2011. 04 월,2011. 05 월,2011. 06 월,2011. 07 월,2011. 08 월,2011. 09 월,2011. 10 월,2011. 11 월,2011. 12 월,2012. 01 월,2012. 02 월,2012. 03 월,2012. 04 월,2012. 05 월,2012. 06 월,2012. 07 월,2012. 08 월,2012. 09 월,2012. 10 월,2012. 11 월,2012. 12 월,2013. 01 월,2013. 02 월,2013. 03 월,2013. 04 월,2013. 05 월,2013. 06 월,2013. 07 월,2013. 08 월,2013. 09 월,2013. 10 월,2013. 11 월,2013. 12 월,2014. 01 월,2014. 02 월,2014. 03 월,2014. 04 월,2014. 05 월,2014. 06 월,2014. 07 월,2014. 08 월,2014. 09 월,2014. 10 월,2014. 11 월,2014. 12 월,2015. 01 월,2015. 02 월,2015. 03 월,2015. 04 월,2015. 05 월,2015. 06 월,2015. 07 월,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월,2020. 01 월,2020. 02 월,2020. 03 월,2020. 04 월,2020. 05 월,2020. 06 월,2020. 07 월,2020. 08 월,2020. 09 월,2020. 10 월,2020. 11 월,2020. 12 월,2021. 01 월,2021. 02 월,2021. 03 월
강북구,총인구수,명,346530,346386,346367,346166,345896,345629,345502,345171,344926,344678,344763,345054,345494,346056,345926,345944,345779,345350,344994,344617,344367,343974,343570,343157,342969,342692,342574,342241,341791,341293,340805,340530,340425,340058,339553,338707,338223,337788,337210,336797,336724,336889,336867,336664,336329,335798,335521,335025,334995,334861,334582,334260,333965,333523,333181,332721,332366,331861,331360,330873,330548,330288,330058,329863,329417,329230,329074,328920,328639,328091,327573,327195,326958,326534,326686,326713,326546,326563,326174,325972,325552,325374,325033,324479,324288,324008,323862,323360,322802,322385,321757,320970,320576,320094,319519,319164,318761,318268,317386,316604,316044,315587,315003,314538,314090,314189,314306,313954,313705,313289,312985,312691,312270,311773,311198,310555,309996,309245,308569,308055,307487,306639,304078
도봉구,총인구수,명,368229,367887,367783,367790,367622,367404,366879,366531,366304,366161,366032,365573,365332,364831,364483,364075,363767,363565,363290,363296,363126,362791,362690,362270,362046,361782,361572,361438,361022,360753,360428,359990,359827,359698,359171,358582,358291,357727,357736,357403,356890,356599,356031,355752,355272,354815,354410,353709,353509,353378,353296,353447,353409,353284,353084,352684,352474,352093,351614,351242,351067,350766,350526,350316,350358,350192,349752,349415,349234,349193,348816,348220,347857,347358,346629,346161,345959,345945,345807,345687,345293,345146,344856,344166,343875,343407,342861,342528,342234,341928,341638,341252,340876,340348,339806,339413,338834,338373,337820,337346,337072,336698,336288,335801,335280,334553,333902,333362,332753,332083,331238,330707,330149,329560,328822,328014,327248,326617,326082,325257,324281,323431,321717
노원구,총인구수,명,610579,609745,608388,607431,606947,606299,605756,605655,605481,605404,604960,603930,603510,603409,602372,601967,601607,601241,600515,599871,599654,599176,598671,597189,596805,596575,595929,595157,594640,593840,593345,593360,593284,592832,592138,590479,589548,588800,588143,587723,587097,586431,585992,585486,585272,584809,583925,582552,582060,581724,581096,580650,580042,579324,578916,578133,577434,576821,575969,574583,573784,573834,574064,574055,573896,573156,572276,571483,570814,569992,568958,567581,566802,565692,565565,565076,564256,562781,561412,559782,558432,557257,555775,554403,553264,552039,551902,550978,550166,549365,548371,547524,546911,546108,544992,543752,542744,541800,541174,539884,539130,538350,537146,535920,535282,533904,533498,532905,532662,531840,531037,530302,529617,528887,527981,526718,525486,524515,523708,523037,521852,520366,518278
은평구,총인구수,명,489358,490703,491525,492029,492074,491880,491741,492080,492594,493095,493398,493634,494438,496488,498496,500086,501208,501605,501769,501908,502228,502121,501772,501480,501639,502645,503231,503813,504382,504354,504006,503819,503875,504471,504701,503660,503241,502528,502088,501761,501548,501371,500845,500261,499969,499610,499099,498644,498902,499320,499616,499559,499491,499399,499257,499761,499668,499421,498690,497920,497625,497109,496659,496070,495673,495312,494993,494428,494038,493349,492588,491476,491164,490681,489943,489741,489143,488390,487695,487421,487507,487355,487062,486794,486551,486231,485902,485572,485121,484642,484021,483773,483417,483473,483440,483197,483513,484070,484274,484267,483972,483730,483084,481856,481663,481218,480701,480032,479457,479005,478019,477973,478029,479524,481184,481729,481546,481165,480617,479835,479223,478336,475501
서대문구,총인구수,명,323909,323170,321991,320919,319950,319244,318467,317721,317175,316462,315731,314852,314124,313555,312867,312505,312184,311963,311611,311336,311135,312335,313965,315113,315829,316439,316630,316444,316069,315746,315495,315315,315369,315222,314788,314110,314003,314051,314025,313964,313848,313538,313216,312862,312752,311761,310956,310376,309935,309524,309243,309048,308438,307843,307557,307110,306892,306681,309751,312141,313360,314805,315778,316275,316217,316201,315821,315286,314980,314778,314387,314194,314455,314974,314982,314910,314688,314778,314702,314567,314182,313937,313333,312800,312655,312625,312311,311899,311539,311280,310821,310593,310584,310080,310243,310313,310809,311700,311771,311586,311308,311215,310795,310477,310069,309637,309312,309397,310353,311327,312642,312809,312869,312720,312264,312632,313212,312781,312325,312173,311720,311132,308482
마포구,총인구수,명,392099,392428,393110,393290,393334,392858,392635,392122,391669,390975,390068,389493,389249,389036,388693,388358,387746,387307,386996,386530,386560,385773,385138,384644,384670,384550,384314,384122,384252,384004,384022,383937,383769,383137,382683,381856,381893,381776,381986,382002,381938,381231,380502,380256,380090,381995,384253,385439,386677,387966,388275,388607,389658,389937,389944,389792,389788,389641,388719,387643,387285,387238,386944,386208,385599,384990,384522,383743,383024,381948,381017,379892,379364,378974,378566,378366,378197,377791,377568,377063,376610,375914,375416,374915,374778,374794,374742,374655,374630,374691,374579,374247,374106,374598,374954,375077,375272,375372,375106,374824,374719,374422,373756,373200,373629,373852,374028,374035,373951,374315,374570,374426,374837,374390,374036,373620,373508,372905,372320,371890,371492,371200,368518
양천구,총인구수,명,499746,499399,498473,497741,497456,497408,498819,500208,500579,500834,500674,500210,500062,499767,499100,498758,498506,498039,497623,497256,496974,496433,496217,495911,496082,495985,495626,495115,494754,494375,493669,493493,493358,493213,492994,492528,492183,491816,491426,491243,491011,490066,488739,487792,487353,486867,486664,486221,486559,486527,486314,486213,486150,485800,485670,485632,485312,485095,485141,484532,484245,483731,482945,482339,481901,481870,481709,481598,481211,480339,478997,477739,477405,476714,475949,475545,474662,474183,473908,473409,472730,472344,471783,471154,470684,470290,469221,468539,467724,467151,466723,466267,466121,465557,464912,464185,463608,463103,462599,462126,461532,461051,460721,460375,459849,459146,458691,458165,457887,457332,456339,457132,458181,457953,457543,456980,456240,455649,455058,454251,453382,454270,452677
강서구,총인구수,명,574029,573764,573182,573091,572767,572494,571526,570777,570315,570017,569687,569072,569085,568646,568492,568438,568312,568368,568403,568293,568285,568042,567904,567431,567173,567348,567582,567806,567872,568079,568086,568150,568483,568993,569304,569070,569151,568719,568543,568553,568474,570924,575033,579550,581672,583460,584385,585160,585951,586553,587234,587683,587996,588559,589034,589467,589693,589509,589257,589074,589731,590173,590849,591205,591574,591592,591105,591960,593022,593976,595073,595485,596109,596566,597248,597936,599290,600323,600852,601282,601391,601432,601606,601691,601753,601850,601696,601325,600798,600257,599501,598759,598416,597823,597432,596949,596862,596602,596287,596233,596109,595602,595057,594299,593708,593030,592309,591796,591599,590419,589302,588281,587553,586936,586279,584920,583544,582586,581909,580185,579176,579082,577320
구로구,총인구수,명,423274,422893,422544,422294,421946,421829,422322,423448,424285,425609,426953,427468,427962,428306,428296,428636,428914,428652,428388,428231,428187,428120,427970,427520,427624,427475,427334,427237,427204,426901,426752,426435,426052,425846,425571,424964,425134,426018,426912,427391,427584,427854,427875,427522,427491,426824,426400,425831,425679,425494,425861,425792,425633,425288,424885,424365,423810,423293,422857,422092,421993,421862,421912,421537,421514,421491,421178,420289,419778,419092,418480,417551,417396,416766,416487,416096,415446,415071,414673,413759,412972,412422,411691,410742,409832,408629,408369,407890,407529,407235,406888,406469,406144,405613,405013,404497,404049,403668,404726,405516,405348,405415,405757,406359,406748,406889,407090,406664,406751,406245,405837,405271,405030,405075,405260,405495,405579,405481,405194,404408,403518,402642,401074
금천구,총인구수,명,244814,244597,244555,244372,243854,243651,243280,242917,242739,242750,243086,243438,243558,243818,244028,244033,243988,243957,243899,243699,243652,243524,243350,243288,243344,242985,242824,242807,242680,242391,242203,241975,241898,241709,241490,241020,240853,240750,240524,240281,240179,239823,239660,239359,239231,238956,238761,238463,238573,238515,238519,238560,238464,238367,238226,237964,237605,237122,236715,236284,236151,235905,235734,235647,235522,235322,235144,234740,234392,234002,233711,235386,236124,236302,236353,236405,236475,236366,236129,235924,235608,235486,235390,235154,235050,234636,234238,233809,233583,233263,233145,232790,232760,232644,233666,233917,234153,234157,233981,234173,234133,234079,233827,233574,233371,233017,232889,232810,233066,232827,232583,232396,232425,232250,231939,232013,232157,232173,232003,231733,231634,231290,229844
영등포구,총인구수,명,406705,406411,406276,405871,405253,404246,403062,401318,400643,399365,398299,397443,397027,396567,396196,395589,394891,394279,393785,393205,392975,392334,391876,391408,391303,390987,390890,390508,390171,389618,389339,388871,388473,387987,387337,386471,386250,385784,385993,386063,386002,385654,385070,384376,383992,383479,382784,382352,382734,382716,382665,382553,382139,381647,381283,380788,380440,379673,379048,378504,378556,378578,378445,378314,377971,377200,376337,375235,373953,372834,371796,370613,370039,369064,368072,368037,369024,369174,369046,368658,368818,369035,369020,368550,368910,368999,369128,369183,369230,369003,368733,368623,368577,368299,367935,367778,368049,368437,368824,368874,369064,369017,368895,368566,368402,368052,367800,367678,367916,370108,371903,372225,372568,373349,374097,375133,375630,376924,378276,379480,380169,380443,377590
동작구,총인구수,명,402777,402705,402491,402973,402891,402741,402567,402241,401936,401728,401335,401408,401561,401828,401984,402231,401990,401877,402278,402956,403098,404379,405287,405491,406449,407662,408843,409503,409574,409739,409674,410295,410741,411024,411237,410815,410780,411208,411275,411194,411369,410969,410552,410034,409547,408805,408218,407470,407340,407142,407613,407520,407272,406536,405636,404432,403345,402178,401373,400641,400618,400901,401250,401501,401770,402043,401923,401948,402229,402214,401811,400997,400652,400588,400456,400101,399611,399338,399191,398902,398501,397911,397121,396217,395520,394899,394353,394249,394564,394788,395095,395471,395513,395238,395266,396203,397435,398685,398886,399118,399084,398885,398433,397926,397618,397139,396460,395963,395636,395201,395014,394988,395180,395165,394905,394118,393554,392674,391896,391220,390433,389754,388730
관악구,총인구수,명,531578,531805,531539,531030,530383,529910,529195,528761,528361,527851,526836,526397,526341,526364,526314,526159,526193,525993,525658,525471,525023,524160,523593,523029,522982,522903,523073,522650,522341,521781,521417,521097,520600,520060,519239,518028,517570,517561,517783,517690,517314,516748,516103,515419,515038,514333,513533,513186,513460,513805,514219,514243,513609,512921,512293,511904,511583,510989,510131,509663,510110,510562,510987,510794,510630,510333,510276,509725,509161,508447,507697,506851,506870,507133,507203,506905,506623,506332,505993,505731,505188,504649,503985,503297,503657,503819,504445,504437,504027,504048,503900,503840,503956,503523,502492,501957,501999,502435,502615,502251,502329,502089,502212,502393,502117,501241,500803,500094,499869,499587,499374,498978,499431,499740,499729,499316,498574,497082,496059,495060,494175,493374,490352
서초구,총인구수,명,435440,435817,434809,434038,433524,433025,432934,433054,433067,433510,433441,433564,434819,435926,435848,435916,435997,436219,436305,436631,436632,436371,435648,435044,435019,437213,437689,438078,438122,438128,438496,438801,439079,439480,439683,441763,443272,444071,443672,443230,443353,443940,445188,447185,448287,449550,449621,449678,450390,450504,448952,447750,447071,447076,447516,447974,447924,447950,447297,446764,446424,445919,445606,445351,445223,445682,445959,445901,446634,447480,447565,447192,447142,447099,445994,445474,444621,443786,443230,443044,442833,442430,441746,441102,441088,441360,440954,440574,440166,439844,439030,438245,437407,436277,434879,433951,433620,433565,432762,432336,431751,431360,431423,431353,431027,430801,430697,430826,431050,431336,430568,429729,429340,428919,428252,427237,426009,425558,425431,425126,424707,423829,421315
강남구,총인구수,명,570296,570591,569367,568991,569265,569873,570392,570209,569002,567828,566482,565710,565475,564876,563872,563254,562725,562739,562684,562465,562556,563717,564442,564197,564717,564275,563170,562361,561664,561782,562545,563217,563387,563655,563449,563599,563857,564595,565302,566754,568278,568867,570331,572486,573756,575196,576679,578114,578990,579722,578361,577417,576416,575912,577237,577380,576756,577582,577377,576495,576089,575486,573644,572375,571445,571330,570882,570421,569961,569611,568416,567115,567077,566590,565550,564885,564166,563448,563050,562216,560827,559507,557667,556164,555622,554772,552976,551140,548745,546952,545809,545085,544257,543907,542671,542364,542154,542341,541854,542108,542344,542498,542576,543222,544028,544712,545024,545169,545938,546436,544804,543240,541915,541233,540636,540148,539235,540127,539838,539231,538536,537879,534796
송파구,총인구수,명,685271,685434,684786,684958,684610,684266,684028,683679,683449,683336,682675,682209,682405,682722,682244,681854,681623,681264,681013,680369,679071,676697,674712,673115,672250,671284,669688,668305,667633,667183,666847,666952,667139,666894,666488,668415,670519,672665,672296,671431,670977,670543,669873,668672,668011,666592,665761,664738,664709,665024,665271,665141,665144,664804,664176,663698,663247,662395,661552,660302,659859,658021,656830,656223,655621,655487,655636,655309,655427,656488,657562,657831,659157,660676,660584,660315,660771,661218,661580,662006,661750,662922,663666,664496,665068,665279,665282,665319,665620,666439,667144,667151,666892,666786,666431,666635,670892,675450,678521,679824,679842,679247,678553,677702,677489,676328,675843,675961,676341,675782,674095,672862,672089,671512,671589,671312,670331,668920,668498,667960,667222,665463,661411
강동구,총인구수,명,492340,495051,496480,496641,496776,496471,496364,496358,496160,495745,495581,495138,494925,494043,492629,491518,490765,490110,489681,489324,489173,488754,488284,487905,487768,487551,486976,486426,486089,485571,485265,485029,484900,484544,484281,483379,483082,482686,482207,481599,481078,480805,480063,479320,478735,478026,477306,476597,475929,474510,472377,470109,468402,465834,463993,462796,462103,460988,459863,458658,457825,456579,455189,454001,452261,450926,450141,448602,447881,446321,445313,444168,445110,447960,449019,449253,449407,448953,447444,445342,442654,440449,437793,436223,435340,434710,434027,433513,433034,432749,432168,431362,430705,429734,428531,427573,426865,426178,425267,424727,424417,424235,425392,425953,426219,430684,433251,436067,440795,446887,452646,455042,456312,457164,457339,457330,458058,458495,458604,459970,461334,464208,464900
부산광역시,총인구수,명,3566560,3566480,3564873,3563042,3562985,3563295,3560813,3558372,3556565,3554635,3553997,3550963,3549501,3548640,3547141,3545806,3543688,3542239,3542218,3541431,3540802,3540098,3539273,3538484,3538191,3539455,3538285,3537758,3536426,3534500,3532994,3531796,3531643,3530579,3529884,3527635,3526648,3527439,3525512,3523386,3521473,3521210,3520288,3520287,3520732,3525913,3522643,3519401,3517898,3517939,3515839,3515439,3515806,3517491,3518955,3517907,3516704,3515689,3514842,3513777,3513361,3513192,3512444,3511974,3510833,3509462,3508095,3507205,3505821,3503789,3501671,3498529,3496779,3495478,3493041,3491282,3489212,3486570,3484836,3484183,3482804,3478109,3474534,3470653,3467055,3465407,3463103,3460707,3458134,3455611,3453198,3451049,3449593,3446856,3444540,3441453,3438259,3436230,3434091,3431750,3429595,3427632,3425317,3423209,3421502,3418871,3416721,3413841,3411819,3410925,3409932,3408347,3406942,3404423,3402776,3401072,3399749,3397598,3395514,3391946,3389388,3387761,3372399
중구,총인구수,명,49402,49394,49343,49291,49221,49150,49011,48919,48885,48851,48803,48686,48592,48563,48515,48527,48568,48516,48449,48405,48312,48249,48200,48148,48078,48093,48016,47953,47800,47733,47499,47469,47295,47324,47336,47345,47347,47392,47404,47258,47322,47246,47146,47038,46939,47038,46914,46737,46654,46662,46677,46634,46528,46519,46431,46320,46284,46154,45968,45816,45770,45711,45637,45601,45604,45585,45509,45435,45408,45338,45302,45208,45144,45083,45041,44946,44843,44791,44689,44676,44581,44456,44317,44218,44107,43985,43931,43855,43725,43510,43315,43181,43082,43034,42935,42795,42665,42634,42585,42543,42404,42389,42350,42175,42085,42010,41983,41910,41830,41826,41764,41714,41742,41652,41633,41630,41593,41547,41501,41523,41549,41551,41370
