"행정구역(시군구)별","항목","단위","2011. 01 월","2011. 02 월","2011. 03 월","2011. 04 월","2011. 05 월","2011. 06 월","2011. 07 월","2011. 08 월","2011. 09 월","2011. 10 월","2011. 11 월","2011. 12 월","2012. 01 월","2012. 02 월","2012. 03 월","2012. 04 월","2012. 05 월","2012. 06 월","2012. 07 월","2012. 08 월","2012. 09 월","2012. 10 월","2012. 11 월","2012. 12 월","2013. 01 월","2013. 02 월","2013. 03 월","2013. 04 월","2013. 05 월","2013. 06 월","2013. 07 월","2013. 08 월","2013. 09 월","2013. 10 월","2013. 11 월","2013. 12 월","2014. 01 월","2014. 02 월","2014. 03 월","2014. 04 월","2014. 05 월","2014. 06 월","2014. 07 월","2014. 08 월","2014. 09 월","2014. 10 월","2014. 11 월","2014. 12 월","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월",
"옹진군","세대수","호","9259","9328","9333","9383","9421","9467","9560","9634","9702","9757","9849","9836","9866","9879","9832","9894","10012","10049","10174","10279","10393","10436","10476","10544","10563","10610","10613","10747","10819","10843","10941","10973","10996","11024","11108","11105","11104","11153","11118","11101","11086","11043","11073","11092","11090","11066","11079","11083","11090","11130","11141","11140","11157","11172","11215","11211","11220","11256","11255","11252","11245","11261","11251","11310","11351","11400","11473","11545","11536","11565","11588","11622","11661","11682","11648","11656","11706","11753","11798","11794","11818","11828","11896","11888","11898","11859","11802","11789","11753","11739","11746","11765","11781","11781","11777","11746","11798","11711","11718","11720","11673","11620","11651","11674","11709","11731","11735","11689","11682","11695","11677","11702","11787","11798","11880","11900","11919","11974","11997","11993","11957","11958","11948","11949","11962","11992","12051","12032","12030",
"광주광역시","세대수","호","541247","542255","542647","543475","544285","544876","545633","546882","547471","548210","548675","549105","549621","550922","551779","551847","552239","552657","553169","553780","554176","554688","555377","555538","556033","556633","557409","558212","558883","559606","560156","560805","561431","562285","563078","563599","563922","564920","565417","566030","567451","568269","569296","570145","570894","572059","572998","573043","573780","574766","575879","576988","577428","577941","578360","579012","579646","579861","580347","580427","580921","581429","582107","582731","583621","584218","584679","585038","585499","585972","586281","586464","586957","587518","588121","588354","588810","589232","589706","590485","591238","591805","592495","592818","593739","594453","595079","595477","595819","596150","597143","598494","599749","601251","602298","603107","604691","605981","607007","608121","609584","610567","611937","613002","613991","614917","615885","616485","617379","618503","620050","622374","624687","626386","627676","629054","630695","631269","632264","633582","634859","635999","636160","637169","637364","638270","639333","640836","642726",
"동구","세대수","호","45876","45722","45545","45680","45622","45639","45512","45400","45256","47275","47173","47472","47508","47682","47782","47693","47685","47668","47658","47548","47469","47436","47391","47283","47152","47095","47056","47038","46981","46867","46775","46720","46662","46603","46535","46428","46290","46298","46312","46350","46427","46330","46276","46240","46269","46321","46280","46153","46091","46118","46105","46298","46367","46364","46313","46244","46227","46133","46046","45860","45820","45739","45681","45517","45456","45516","45500","45470","45436","45310","45216","45095","45044","45453","45650","45673","45668","45635","45589","45592","45492","45455","45424","45341","45303","45339","45272","45139","45234","45157","45113","45172","45199","45358","45489","45452","45548","45569","45556","45853","46129","46426","46958","47353","47585","47750","47838","47885","47928","47950","48063","48226","48727","48928","48984","49112","50009","50521","50809","51029","51058","51095","50983","51274","51282","51414","51550","51795","51994",
"서구","세대수","호","111518","111519","111399","111454","111366","111312","111329","111484","111482","117437","117222","116992","116980","117255","117396","117364","117428","117553","117645","117649","117599","117578","117614","117665","117814","118021","118186","118381","118473","118654","118673","118846","118986","119133","119175","119155","119139","119149","119152","119246","119519","119483","119427","119379","119420","119570","119672","119658","119808","119837","119934","120009","119985","120061","120127","120099","120183","120144","120155","120107","120199","120326","120645","121320","122014","122394","122623","122926","123173","123345","123533","123500","123628","123732","123936","123998","124220","124328","124426","124413","124537","124556","124600","124663","124994","125107","125224","125246","125230","125286","125405","125614","125924","126357","126563","126751","127095","127190","127175","127310","127533","127703","127851","127976","128243","128538","128667","128783","129098","129343","129488","129916","130281","130512","130663","130844","130964","131060","131224","131373","131644","131791","131813","131827","131724","131850","131981","132214","132468",
"남구","세대수","호","81436","81580","81613","81621","81718","81754","82092","82339","82560","82513","82948","82854","82976","83042","83038","83060","83165","83187","83288","83323","83308","83255","83288","83255","83327","83321","83340","83451","83549","83571","83554","83567","83526","83475","83487","83402","83364","83482","83546","83685","83904","84153","84458","84853","85026","85351","85851","85996","86126","86345","86586","86689","86730","86777","86873","87061","87228","87368","87404","87473","87492","87540","87520","87502","87452","87551","87514","87488","87550","87721","87831","87879","87962","87951","87960","87994","88058","88079","88111","88144","88179","88196","88462","88605","88741","88812","88744","88728","88691","88782","88906","89097","89247","89312","89421","89574","89876","90307","90586","90680","90852","91141","91342","91550","91644","91807","92057","92233","92297","92378","92473","92682","92668","92665","92699","92806","92889","92986","93045","93295","93493","93632","93243","93377","93621","93908","94256","94476","94824",
"북구","세대수","호","174408","175173","175568","175834","175866","175973","176040","176272","176415","168767","168651","168485","168570","168784","169033","169045","169083","169176","169298","169400","169496","169697","169965","170004","170114","170216","170428","170675","170986","171392","171780","172062","172371","172620","172867","173165","173358","173614","173819","174003","174433","175072","175621","175846","176062","176296","176439","176440","176639","177096","177527","177952","178059","178223","178290","178338","178408","178411","178671","178735","178847","178899","179013","178893","178878","178841","178907","178902","178974","178978","179009","178956","178924","178822","178820","178949","179098","179171","179312","179583","179965","180326","180576","180682","181048","181439","181836","182064","182135","182166","182578","183118","183701","184195","184393","184617","185033","185299","185415","185445","185619","185619","185868","186036","186427","186672","186885","187015","187127","187502","188056","188726","189400","190277","190694","191117","191307","191174","191532","191997","192588","193047","193362","193669","193544","193705","194047","194452","195081",
"광산구","세대수","호","128009","128261","128522","128886","129713","130198","130660","131387","131758","132218","132681","133302","133587","134159","134530","134685","134878","135073","135280","135860","136304","136722","137119","137331","137626","137980","138399","138667","138894","139122","139374","139610","139886","140454","141014","141449","141771","142377","142588","142746","143168","143231","143514","143827","144117","144521","144756","144796","145116","145370","145727","146040","146287","146516","146757","147270","147600","147805","148071","148252","148563","148925","149248","149499","149821","149916","150135","150252","150366","150618","150692","151034","151399","151560","151755","151740","151766","152019","152268","152753","153065","153272","153433","153527","153653","153756","154003","154300","154529","154759","155141","155493","155678","156029","156432","156713","157139","157616","158275","158833","159451","159678","159918","160087","160092","160150","160438","160569","160929","161330","161970","162824","163611","164004","164636","165175","165526","165528","165654","165888","166076","166434","166759","167022","167193","167393","167499","167899","168359",
"대전광역시","세대수","호","556329","557532","558301","558930","560058","560935","561419","562159","563285","564638","565439","566324","567349","569064","570007","570860","571755","572411","572926","573311","573847","574436","575014","575600","576298","577469","578317","579119","579989","580723","581470","582064","582711","583581","584215","584877","585415","586973","587986","588803","589333","590008","590759","591457","591975","592431","592500","592508","593049","593926","594388","594606","594811","595216","595692","596046","596471","596840","596962","597008","597529","599010","599751","600185","600754","601356","602065","602899","603565","604251","605178","606137","607090","608763","609447","609963","610436","610915","611746","612740","613372","613864","614201","614639","615642","616462","617219","617757","618339","619181","620418","621746","622579","623363","624296","624965","626103","627893","629084","629623","630429","630835","631528","632274","633284","634132","634605","635343","636203","637726","638921","640500","643220","644764","646211","647818","649552","650636","651488","652783","654078","655842","655196","656007","657087","657781","658831","659978","661948",
"동구","세대수","호","98993","99139","99152","99295","99368","99430","99344","99304","99660","100056","100335","100745","100951","101307","101579","101737","101748","101727","101688","101602","101664","101669","101691","101687","101666","101883","101933","102015","102175","102332","102449","102536","102503","102419","102354","102263","102168","102334","102385","102416","102319","102308","102238","102102","101982","101863","101671","101512","101331","101418","101475","101366","101276","101201","101090","101067","100961","100853","100742","100635","100576","100678","100693","100637","100628","100500","100457","100430","100413","100452","100426","100398","100416","100640","100604","100682","100602","100541","100622","100807","100844","100827","100714","100677","100579","100681","100837","100813","100771","100800","101011","101397","101672","101811","102146","102632","102869","103342","103738","103847","104021","104072","104096","104185","104302","104275","104200","104064","103958","103973","104022","104151","104445","104604","104672","104884","105031","105037","105099","105729","106232","106813","106511","106636","106836","106961","107104","107368","107763",
"중구","세대수","호","101034","101012","100992","101011","101137","101202","101234","101515","101821","101989","101998","101819","101779","101783","101742","101716","101928","102048","102047","102123","102186","102218","102254","102201","102188","102258","102300","102365","102391","102509","102678","102679","102895","103281","103554","103705","103800","103931","103970","103962","104028","104067","104016","104023","104004","103932","103820","103669","103626","103614","103570","103446","103411","103329","103306","103337","103375","103359","103328","103285","103358","103422","103407","103423","103512","103535","103527","103480","103515","103579","103639","103681","103794","103976","104019","104086","104083","104114","104205","104287","104378","104495","104549","104509","104540","104591","104575","104689","104789","104994","105145","105246","105315","105350","105336","105270","105391","105602","105713","105787","105909","105988","106089","106148","106104","106256","106279","106379","106486","106756","106821","107000","107226","107314","107403","107517","107659","107657","107667","107626","107645","107796","107299","107294","107418","107537","107576","107582","107704",
