"행정구역(시군구)별","항목","단위","2011. 01 월","2011. 02 월","2011. 03 월","2011. 04 월","2011. 05 월","2011. 06 월","2011. 07 월","2011. 08 월","2011. 09 월","2011. 10 월","2011. 11 월","2011. 12 월","2012. 01 월","2012. 02 월","2012. 03 월","2012. 04 월","2012. 05 월","2012. 06 월","2012. 07 월","2012. 08 월","2012. 09 월","2012. 10 월","2012. 11 월","2012. 12 월","2013. 01 월","2013. 02 월","2013. 03 월","2013. 04 월","2013. 05 월","2013. 06 월","2013. 07 월","2013. 08 월","2013. 09 월","2013. 10 월","2013. 11 월","2013. 12 월","2014. 01 월","2014. 02 월","2014. 03 월","2014. 04 월","2014. 05 월","2014. 06 월","2014. 07 월","2014. 08 월","2014. 09 월","2014. 10 월","2014. 11 월","2014. 12 월","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월",
"전국","세대수","호","19869849","19891086","19906696","19923412","19935590","19945050","19952383","19968170","19985664","20004361","20019850","20033142","20038189","20061711","20081106","20094955","20109711","20122836","20137163","20153476","20167152","20182469","20196798","20211770","20223716","20248440","20273632","20295992","20316172","20337060","20353395","20373300","20393578","20418259","20437628","20456588","20466884","20500837","20527351","20549492","20567959","20586788","20606866","20628782","20655145","20682278","20702623","20724094","20740958","20772167","20801104","20821017","20844274","20870280","20892349","20916461","20940559","20967469","20988782","21011152","21026847","21057262","21084550","21104857","21130317","21153853","21173397","21192974","21214428","21241538","21267187","21294009","21312864","21352287","21381346","21402062","21429935","21455795","21482219","21514559","21544772","21570895","21599577","21632851","21662900","21703524","21745437","21777777","21804246","21825601","21853371","21895153","21930578","21972704","22006919","22042947","22081397","22131431","22175371","22212339","22253218","22281663","22314013","22347155","22380985","22414439","22444006","22481466","22513039","22561161","22613882","22663240","22732288","22791531","22842044","22898959","22952513","22991110","23037033","23093108","23137172","23194982","23157385","23198657","23225281","23256332","23294707","23336989","23383689",
"서울특별시","세대수","호","4223301","4225512","4221613","4219198","4214866","4210104","4206353","4204155","4201510","4199109","4195791","4192752","4191988","4194856","4192477","4190283","4188758","4187283","4186203","4185964","4185440","4182937","4180568","4177970","4178537","4181574","4182314","4182017","4181819","4181577","4181320","4183132","4184537","4185280","4184122","4182351","4182556","4188621","4190331","4189778","4189440","4189495","4190836","4193111","4195210","4195960","4195300","4194176","4196435","4201451","4202812","4200803","4199356","4197478","4196515","4196071","4195438","4194103","4192412","4189948","4190415","4193517","4194485","4193887","4193473","4193712","4192776","4191784","4191411","4191313","4190260","4189839","4192985","4200761","4202888","4203957","4207393","4210933","4213667","4217954","4219001","4219562","4219280","4220082","4224387","4231130","4237610","4239848","4240628","4241547","4243687","4249335","4254018","4258518","4260463","4263868","4271551","4283150","4290922","4296066","4301522","4304243","4308300","4312172","4315921","4319322","4322454","4327605","4334918","4345877","4354006","4361645","4373610","4384076","4391545","4400154","4405833","4408498","4412343","4417954","4421022","4427814","4400403","4403263","4403381","4405638","4409964","4416816","4421143",
"종로구","세대수","호","77569","77598","77380","77298","77224","77121","76978","76986","76999","76957","76811","76688","76717","76697","76702","76500","76381","76315","76269","76305","76245","76100","75993","75659","75365","75042","74581","74398","74169","74092","74020","74069","74016","73943","73854","73693","73548","73683","73689","73740","73729","73629","73506","73495","73581","73445","73281","73101","72949","72928","73218","73153","73032","72882","72731","72691","72878","72890","72780","72645","72605","72718","73146","73034","72925","72820","72699","72597","72582","72466","72329","72118","71966","72007","72654","72838","73025","73091","73241","73424","73668","73663","73618","73594","73562","73570","73879","73857","73811","73655","73554","73559","73696","73712","73713","73735","73691","73814","73914","73861","73836","73828","73790","73802","73942","73906","73951","73947","73925","74028","74151","74299","74408","74497","74605","74700","74861","74835","74900","75003","75060","75112","74113","74178","73712","73525","73453","73580","73652",
"중구","세대수","호","61423","61500","61419","61381","61285","61110","61008","60972","60896","60918","61068","61475","61763","62206","62380","62410","62481","62537","62541","62496","62371","61989","61687","61546","61431","61366","61217","61079","61045","60967","60866","60756","60649","60651","60663","60600","60526","60563","60481","60338","60307","60267","60187","60136","60149","60168","60061","59960","59932","60056","60043","59920","59696","59614","59513","59456","59452","59506","59438","59321","59279","59253","59339","59409","59290","59315","59381","59570","59591","59686","59701","59651","59600","59602","59481","59394","59413","59368","59436","59896","60130","60212","60285","60412","60520","60689","60903","60943","61069","61091","61075","61127","61232","61361","61418","61502","61612","61770","61800","61879","61873","62156","62481","62553","62593","62608","62633","62739","62814","63016","63045","63091","63234","63354","63397","63540","63594","63640","63666","63686","63707","63789","63746","63851","62847","62897","63001","63130","63267",
"용산구","세대수","호","113154","113151","113264","113255","113412","113330","113262","113111","112969","112861","112718","112617","112510","112338","112049","111777","111611","111459","111354","111313","111222","111016","110870","110706","110665","110588","110479","110329","110226","110126","110003","109887","109741","109669","109500","109361","109406","109554","109487","109244","109189","109019","108896","108796","108694","108522","108448","108429","108480","108524","108506","108357","108257","108138","108077","107934","107827","107641","107639","107512","107428","107374","107342","107295","107256","107277","107293","107158","107026","106886","106698","106607","106566","106639","106544","106475","106511","106603","106664","106903","107090","107282","107415","107666","107979","108280","108497","108545","108552","108516","108552","108664","108777","108874","108938","108974","109146","109348","109413","109378","109507","109692","109794","109916","109911","109909","109964","110126","110457","110770","110895","111037","111319","111586","111800","112059","112451","112699","112906","113093","113267","113600","112881","112940","112275","111650","111635","111419","111177",
"성동구","세대수","호","129388","129255","128922","128572","128319","128052","127748","127399","127169","126834","126487","126148","125947","126033","125880","125828","125745","125689","125599","125797","126024","125938","125865","125848","126335","126936","127035","127024","126960","127026","126849","126775","126701","126593","126540","126447","126393","126520","126714","126738","126683","126698","126620","126412","126348","126113","126009","125814","125815","125926","126021","126088","126539","126915","126932","126989","127047","126961","126835","126714","126702","126707","126666","126711","127072","127341","127460","127711","127771","127539","127809","128727","129555","130493","130868","131032","131261","131474","131716","132157","132415","132564","132720","132902","133233","133644","134543","135147","135399","135666","136000","136494","136831","137124","137197","137209","137183","137288","137247","137053","137024","136872","136703","136592","136466","136196","136000","135838","135732","135797","135643","135563","135712","135937","136030","136094","136096","135978","135871","135870","135862","135958","135883","135884","134664","134542","134493","134507","134620",
"광진구","세대수","호","159671","159706","159580","159447","159263","159091","158935","158723","158655","158623","158597","158472","158433","158520","158486","158458","158483","158447","158590","158696","158750","158620","158542","158534","158699","158913","158987","158995","159013","159077","159059","159088","159246","159221","159244","159173","159162","159516","159650","159622","159462","159338","159207","159120","159025","158778","158588","158524","158608","158903","159056","159057","158926","158769","158706","158563","158544","158528","158440","158353","158295","158519","158593","158542","158388","158454","158526","158560","158554","158467","158449","158390","158504","158861","158960","159008","159157","159375","159585","159965","160085","160230","160539","160798","161143","161397","161407","161415","161369","161294","161293","161556","161714","162069","162398","162606","162846","163293","163460","163578","163862","163914","163880","164082","164173","164232","164258","164428","164730","165100","165287","165579","166014","166307","166520","166703","166857","166944","167173","167427","167561","167677","166638","166666","166866","166957","167057","167233","167438",
"동대문구","세대수","호","158661","158954","158890","158874","158719","158336","158189","158288","158242","158154","157987","157823","157745","158289","158294","158285","158296","158277","158178","158067","158017","157946","157851","157650","157578","157798","157854","157839","158398","158794","158987","159257","159315","159373","159335","159256","159163","159341","159399","159410","159393","159186","159076","158972","159413","159800","159930","159880","159810","160096","160384","160320","160267","160110","159967","159966","160079","160101","159972","159941","159898","160215","160378","160347","160155","159914","159665","159489","159429","159471","159507","159426","159396","159803","159839","159915","159911","159826","159887","159982","160029","160080","160003","159938","159955","160296","160489","160524","160478","160757","161336","161984","162232","162354","162168","161820","161742","162229","162228","162324","162581","162851","163103","163442","163606","163666","163900","164191","164359","164844","165279","165516","166073","166451","166662","166933","167232","167301","167428","167598","167524","167854","165924","166000","166197","166372","166670","167136","167591",
"중랑구","세대수","호","176074","176110","176003","175949","175845","175699","175566","175481","175352","175289","175298","175115","175009","174954","174927","174675","174578","174475","174361","174304","174334","174405","174326","174313","174269","174387","174447","174517","174612","174741","174770","174731","174870","174916","174821","174938","175144","175662","175731","175657","175715","175862","176206","176551","176683","176774","176779","176714","176760","176830","176862","177037","177150","177077","176847","176592","176441","176340","176461","176390","176478","176604","176721","176903","177061","177105","177230","177156","177232","177318","177392","177400","177477","177595","177548","177597","177737","178185","178508","178760","179002","179077","179116","179132","179184","179365","179600","179710","179768","179690","179758","179914","180044","180243","180360","180511","180740","180986","181182","181212","181237","181383","181342","181375","181448","181382","181400","181579","181774","182034","182220","182433","182930","183310","183607","184597","185109","185356","185610","185920","186225","186457","185506","185458","185026","185073","185131","185333","185497",
"성북구","세대수","호","201402","201664","201594","201424","201097","200761","200508","200317","200179","199966","199674","199398","199135","199260","199168","198916","198792","198707","198730","198738","198665","198418","198203","197992","197803","197922","198094","198058","197927","197887","197819","197769","197679","197376","197058","196693","196556","196756","196661","196336","195998","195568","195211","194853","194541","194107","193715","193359","193258","193602","193560","193226","192923","192670","192459","192246","191987","191685","191358","190973","190796","191013","190957","190818","190559","190406","190022","189718","189367","189062","188721","188304","188060","188513","188512","188398","188233","188100","188037","188006","187822","187565","187345","187112","186939","187221","187234","187111","186915","186696","186542","186665","186744","186761","186638","186601","186641","187362","188670","189542","189947","190253","190698","191174","191465","192307","192535","192592","192809","193344","193801","194095","194735","195064","195178","195325","195379","195415","195331","195396","195703","196066","193965","194136","194304","194364","194528","194774","195099",
"강북구","세대수","호","142793","142894","142892","142880","142735","142626","142552","142479","142357","142356","142398","142527","142702","142929","142951","142922","142863","142802","142686","142555","142526","142315","142183","142150","142134","142064","142061","141990","141824","141732","141630","141574","141606","141573","141506","141246","141143","141137","140959","140857","140950","141124","141179","141218","141230","141251","141263","141246","141346","141503","141463","141343","141335","141325","141333","141340","141291","141265","141164","141088","141079","141141","141053","141069","141039","141129","141218","141277","141275","141202","141156","141229","141342","141454","141554","141685","141770","141999","141982","142148","142165","142274","142459","142533","142708","142900","143139","143166","143152","143187","143134","143113","143172","143278","143319","143395","143543","143695","143663","143586","143630","143650","143617","143644","143680","143881","144155","144277","144431","144553","144805","145049","145315","145559","145630","145706","145790","145753","145739","145896","145934","145962","144410","144472","144545","144525","144563","144610","144573",
"도봉구","세대수","호","140628","140584","140438","140402","140286","140159","139940","139761","139626","139587","139508","139348","139146","138925","138689","138545","138393","138263","138169","138236","138224","138145","138149","138036","137968","137965","137901","137961","137934","137877","137867","137805","137851","137943","137814","137714","137639","137542","137632","137612","137580","137509","137448","137467","137412","137278","137205","136977","136969","137013","137094","137205","137207","137260","137316","137248","137203","137073","136966","136903","136845","136765","136687","136750","136848","136913","136860","136783","136829","136905","136940","136898","136790","136775","136613","136535","136637","136852","137061","137231","137269","137378","137440","137378","137459","137542","137479","137495","137543","137560","137657","137827","137901","137961","138006","138087","138109","138143","138175","138232","138426","138460","138565","138585","138603","138530","138479","138508","138509","138607","138595","138724","138867","138966","138999","139015","139029","139015","139088","139114","138984","138974","138120","138160","138213","138387","138490","138495","138582",
"노원구","세대수","호","227678","227497","226913","226546","226258","225975","225730","225893","225844","225767","225457","225104","225085","225137","224647","224464","224345","224230","223957","223777","223731","223554","223342","222959","222800","222915","222910","222796","222705","222539","222501","222586","222720","222723","222558","222132","221786","221901","221823","221807","221770","221685","221706","221696","221706","221649","221465","221107","220908","221046","220895","220730","220639","220403","220320","220279","220243","220180","219971","219768","219628","219906","220588","220758","220906","220804","220570","220416","220269","220258","220047","219736","219494","219530","219957","219905","219755","219460","219054","218718","218469","218192","217860","217619","217375","217244","217999","217906","217797","217662","217528","217620","217900","217940","217854","217655","217365","217370","217748","217502","217622","217462","217227","217031","217058","216819","216861","216966","217054","217068","217148","217302","217579","217897","217918","217940","218002","217981","218015","218270","218213","218184","217272","217238","217201","217322","217310","217324","217269",
"은평구","세대수","호","196659","197094","197298","197507","197352","197209","197064","197022","197199","197394","197491","197582","197787","198457","199192","199682","200076","200226","200328","200475","200581","200644","200576","200502","200550","200997","201290","201550","201828","201865","201858","202023","202238","202499","202735","202487","202419","202343","202366","202338","202276","202337","202361","202302","202342","202335","202199","202187","202365","202621","202819","202825","202991","203159","203146","203529","203609","203639","203579","203410","203359","203317","203140","202870","202804","202731","202728","202577","202404","202354","202089","201891","201930","201999","201869","201931","201902","201971","201906","202075","202391","202563","202682","202839","203009","203293","203431","203509","203542","203547","203528","203812","203951","204396","204753","205001","205453","206087","206527","206845","207003","207123","207393","207225","207410","207458","207454","207681","207824","208153","208209","208771","209456","210664","211862","212632","213039","213305","213636","213914","214099","214288","212725","212764","213270","213662","213889","214004","214181",
"서대문구","세대수","호","138191","138040","137520","137032","136642","136338","136060","135787","135621","135389","135088","134730","134489","134454","134196","134084","133981","133914","133843","133706","133674","134096","134757","135104","135370","135706","135916","135940","135841","135725","135588","135553","135563","135534","135432","135272","135173","135451","135563","135611","135579","135496","135405","135358","135352","135097","134899","134780","134625","134696","134583","134476","134261","134004","133929","133824","133828","133795","134847","135770","136212","136835","137303","137473","137462","137497","137341","137132","136994","136969","136850","136766","136892","137233","137207","137159","137207","137413","137564","137609","137509","137513","137364","137266","137416","137701","137758","137769","137759","137725","137666","137812","138027","138085","138261","138549","138931","139589","139811","139874","139963","140007","139994","139964","140007","139984","139990","140157","140625","141279","142109","142559","142963","143323","143487","144024","144494","144546","144655","144838","144808","144891","143180","143087","143112","143226","143274","143521","143712",
"마포구","세대수","호","170555","170741","170861","170852","170728","170446","170269","169996","169759","169348","168988","168640","168432","168553","168371","168216","167937","167726","167561","167363","167342","167069","166806","166722","166768","166820","166797","166796","166917","166991","167109","167261","167276","167196","167039","166780","166841","167142","167305","167323","167320","167132","167077","167133","167262","168133","168980","169492","170117","170824","171028","171155","171580","171691","171681","171734","171759","171918","171791","171480","171420","171690","171489","171111","171010","170792","170624","170400","170208","169829","169571","169432","169303","169514","169404","169362","169378","169407","169469","169557","169626","169474","169436","169408","169586","169996","170219","170351","170526","170788","170955","171142","171320","171836","172172","172505","172900","173351","173517","173571","173816","173845","173852","173851","174181","174466","174795","175023","175282","175694","176133","176385","177230","177544","177770","178114","178495","178483","178417","178482","178543","178815","177170","177796","178245","178625","179007","179471","179541",
"양천구","세대수","호","183584","183423","182998","182659","182425","182311","182587","182927","183031","183015","182824","182677","182605","182533","182324","182217","182146","181926","181786","181642","181511","181309","181227","181135","181175","181185","181080","180982","180851","180816","180607","180586","180573","180619","180538","180443","180261","180255","180202","180167","180075","179831","179572","179410","179314","179207","179200","179069","179209","179334","179389","179375","179343","179315","179565","179641","179640","179619","179712","179512","179409","179283","179008","178811","178723","178783","178813","178831","178742","178417","177820","177434","177297","177161","176921","176886","176785","176861","176913","176892","176811","176796","176699","176649","176650","176725","176559","176452","176350","176234","176284","176380","176598","176598","176574","176498","176516","176620","176680","176793","176990","177045","177197","177361","177339","177244","177212","177256","177326","177425","177436","178257","179177","179677","179959","180185","180309","180410","180534","180633","180677","181363","180682","180783","180961","181012","181098","181191","181281",
"강서구","세대수","호","225205","225225","224967","224972","224762","224543","224196","223976","223891","223777","223740","223490","223430","223333","223265","223254","223222","223302","223432","223522","223674","223683","223772","223708","223753","224081","224346","224710","224909","225165","225357","225608","225951","226250","226477","226607","226730","226951","227065","227181","227282","228197","229782","231590","232573","233489","233871","234378","234728","235223","235697","236025","236340","236939","237508","238010","238366","238672","238732","238952","239378","239861","240337","240635","240929","241192","241321","242094","242847","243556","244361","245045","245805","246724","247696","248453","249611","250708","251383","252147","252683","253212","253719","254257","254783","255379","256042","256361","256524","256560","256746","257140","257558","257875","258213","258503","259101","259692","260152","260660","261153","261383","261662","261802","262108","262293","262442","262708","263166","263413","263645","264111","264659","265252","265762","266197","266366","266606","266920","266982","267162","268129","267442","268133","268636","269276","269653","269976","270389",
"구로구","세대수","호","170096","169994","169826","169689","169414","169295","169397","169726","169945","170404","170828","171064","171241","171520","171552","171604","171637","171524","171504","171504","171476","171509","171560","171498","171653","171711","171789","171772","171749","171677","171665","171577","171514","171529","171533","171419","171506","172003","172409","172628","172589","172758","172851","172888","172970","172764","172702","172594","172605","172777","173040","172985","172880","172797","172655","172537","172448","172413","172354","172321","172475","172773","172837","172793","172910","172927","172819","172591","172473","172395","172298","172220","172241","172374","172272","172244","172124","172050","172121","171978","171861","171776","171684","171570","171468","171426","171751","171852","171848","171882","171827","171914","172121","172274","172363","172457","172639","172835","173585","174159","174302","174505","174918","175421","175844","176105","176437","176568","176820","177120","177275","177432","177848","178367","178821","179392","179792","180012","180306","180531","180620","180861","180027","180042","180196","180258","180324","180322","180424",
"금천구","세대수","호","103377","103442","103506","103530","103377","103315","103171","103119","103054","103219","103414","103600","103709","103962","104102","104149","104201","104270","104291","104277","104312","104336","104356","104357","104478","104352","104333","104396","104351","104278","104253","104229","104196","104304","104264","104179","104167","104228","104220","104103","104073","103957","103945","103874","103891","103915","103907","103940","104053","104153","104267","104363","104307","104331","104339","104256","104148","104054","103946","103847","103909","103917","103988","104007","103996","103995","103978","103920","103876","103841","103799","104483","104855","105045","105146","105290","105484","105628","105753","105812","105862","105889","105976","106066","106262","106305","106333","106284","106325","106307","106464","106572","106774","106995","107605","107971","108327","108671","108823","109264","109589","109708","109849","109938","110072","110164","110339","110622","111000","111287","111542","111787","112244","112570","112734","113347","113887","114183","114442","114715","114955","115161","114402","114538","114949","115358","115910","116308","116545",
"영등포구","세대수","호","171783","171910","171985","171958","171816","171307","170866","170282","169967","169535","169096","168850","168796","168804","168642","168469","168255","168092","168020","167937","167909","167835","167666","167685","167833","167985","168126","168217","168208","168096","168074","168088","167979","167999","167959","167761","167768","167958","168149","168268","168285","168379","168339","168316","168276","168213","168089","168100","168362","168584","168706","168672","168521","168314","168244","168198","168104","167886","167892","167863","168075","168207","168222","168219","168111","167863","167576","167150","166661","166305","166020","165729","165744","165773","165462","165480","166005","166252","166382","166453","166733","166999","167255","167355","167854","168381","168784","169083","169220","169264","169466","169867","170208","170504","170693","171085","171649","172358","172828","173116","173503","173701","173940","174098","174309","174440","174494","174806","175237","176625","177743","178323","179007","179787","180574","181469","182087","182917","183790","184714","185331","185969","184133","184525","184824","185025","185467","186135","186360",
"동작구","세대수","호","167920","168070","167765","167869","167757","167651","167555","167487","167285","167149","167056","167099","167106","167514","167518","167605","167547","167572","167807","168207","168335","168844","169195","169293","169772","170584","171183","171552","171659","171819","171865","172256","172554","172738","172832","172700","172615","173057","173314","173333","173389","173284","173240","173128","173060","172862","172637","172389","172403","172530","172798","172792","172742","172464","172128","171745","171377","170976","170716","170495","170628","171122","171466","171677","171891","172179","172256","172419","172672","172802","172758","172506","172528","172954","173033","172867","172909","172966","173145","173445","173474","173416","173225","172995","173019","173304","173544","173769","174082","174427","174872","175559","175873","176203","176460","177176","178106","179203","179709","180058","180383","180463","180524","180618","180841","180823","180747","180753","180862","181268","181761","182236","182962","183537","183870","184030","184193","184119","184132","184229","184098","184171","183579","183826","183959","183859","184175","184556","184825",
"관악구","세대수","호","247874","248339","248362","248171","247861","247738","247514","247507","247492","247288","247018","246979","247072","247587","247840","247762","247833","247888","247896","248044","247998","247777","247665","247598","247758","248142","248691","248688","248687","248529","248556","248644","248600","248512","248285","248006","248044","248660","248998","249120","249096","249004","248776","248650","248633","248501","248249","248180","248583","249253","249748","249777","249606","249481","249381","249429","249449","249410","249162","249191","249752","250576","251124","251398","251652","251736","251871","251960","251948","251957","251919","251955","252415","253313","253826","253872","254121","254395","254549","254910","254964","255033","255054","255352","256311","257333","258536","259081","259328","259681","260090","260777","261401","261801","261802","262222","263109","264514","265360","265724","266389","266692","267243","267876","268226","268109","268218","268559","269072","269964","270760","271313","272524","273715","274381","275016","275248","274869","274841","274811","274910","275301","273736","273751","274141","274565","274975","275732","276182",
"서초구","세대수","호","170994","171073","170521","170214","169904","169633","169433","169360","169200","169312","169088","168988","169215","169434","169229","169216","169350","169450","169477","169617","169521","169453","169065","168878","168669","169179","169397","169522","169540","169550","169644","169772","169854","169910","169985","170594","170964","171317","171186","170889","170964","171297","171818","172619","173086","173464","173449","173469","173679","173723","173259","172851","172685","172770","172975","173244","173335","173408","173187","173007","172873","172763","172636","172598","172665","172950","173089","173176","173572","173981","174039","173970","174003","174111","173856","173728","173580","173417","173476","173746","173885","173818","173693","173594","173802","174139","174225","174297","174276","174268","174126","174084","173912","173624","173177","172918","172893","173142","172929","172962","172988","172907","173032","173253","173215","173183","173113","173199","173388","173635","173580","173561","173849","173998","174012","173827","173483","173283","173391","173502","173514","173414","172181","171947","171736","171574","171743","171860","171497",
"강남구","세대수","호","234230","234125","233533","233382","233450","233666","233834","233860","233347","232813","232308","231983","231704","231475","231088","230849","230702","230612","230494","230463","230570","230770","230867","230755","230952","230732","230346","230135","229836","229788","229896","230210","230321","230449","230441","230645","230760","231204","231514","232068","232647","232943","233590","234675","235465","236259","236858","237375","237830","238304","237996","237628","237340","237198","237741","237841","237659","237919","237715","237373","237144","236944","236280","235910","235592","235660","235554","235508","235299","235093","234537","234080","234230","234315","234107","233932","233950","233943","233954","234031","233583","232980","232198","231612","231521","231560","231219","230540","229743","229160","228853","228938","228883","229057","228735","228775","228980","229371","229546","229930","230375","230752","231093","231631","232115","232534","232750","232981","233363","233849","233624","233363","233354","233484","233673","234024","234021","234588","234785","234872","234688","234776","233363","233203","232936","232707","232642","233815","234218",
"송파구","세대수","호","264181","264162","263832","263888","263606","263304","263025","262813","262724","262557","262292","261963","261949","262020","261714","261607","261476","261354","261307","260998","260502","259456","258512","257852","257437","256990","256338","255814","255688","255680","255728","256236","256629","256751","256707","257441","258172","259184","259245","258926","258747","258634","258558","258273","258080","257763","257529","257207","257269","257542","257643","257599","257565","257528","257301","257396","257395","257192","256999","256611","256477","256002","255601","255451","255345","255400","255537","255648","255825","256855","257804","258382","259007","259771","259883","260015","260573","261155","261766","262441","262611","263257","263859","264628","265311","265977","266550","267094","267640","268325","268802","269220","269558","270080","270342","270866","273084","275120","276815","277807","278273","278223","278256","278232","278340","278118","278233","278711","279137","279378","279301","279460","279817","280135","280769","281361","281417","281252","281433","281959","282125","282003","280237","280324","280635","280707","280881","281593","282018",
"강동구","세대수","호","190211","190961","191344","191447","191329","191088","190966","190883","190707","190597","190557","190392","190261","189922","189271","188789","188427","188226","188023","187925","187926","187710","187533","187490","187322","187214","187116","186957","186942","186740","186749","186792","186895","187009","187002","186764","186670","186693","186569","186462","186342","186361","186280","186179","186124","186073","185987","185905","185772","185460","184737","183844","183224","182324","181721","181383","181329","181032","180756","180508","180271","180012","179584","179298","178884","178529","178345","177943","177965","177699","177646","177460","177985","179202","179676","179956","180354","180434","180115","179668","178864","178319","177636","177407","177338","177463","177490","177587","177612","177605","177579","177595","177591","177513","177304","177247","177245","177299","177140","177156","177250","177368","178147","178706","178969","180965","182094","183390","185222","187626","190019","191399","192334","193095","193525","193924","194602","195008","195334","196499","197452","199039","199088","199561","199931","200170","200595","200791","201205",
"부산광역시","세대수","호","1371509","1373295","1374241","1375107","1376830","1378685","1378565","1378849","1379448","1380183","1381372","1381257","1381019","1382268","1383129","1383742","1383896","1384518","1385771","1386827","1387335","1387958","1388602","1389526","1390482","1392593","1394327","1395693","1396943","1398062","1398777","1399919","1401269","1402700","1404011","1404663","1405145","1408084","1409289","1409861","1410558","1412091","1413009","1414444","1416330","1420692","1421185","1421648","1422500","1424605","1425630","1426601","1428115","1430441","1432723","1434025","1434668","1435812","1436851","1437818","1438704","1440354","1442013","1443215","1444666","1445614","1446165","1446943","1447601","1448657","1449892","1451270","1452162","1454891","1456356","1457360","1459062","1460244","1462269","1464626","1466181","1466384","1466889","1467555","1468069","1470058","1471933","1472729","1473233","1473448","1474088","1475668","1477190","1478697","1479534","1480468","1481315","1483699","1485852","1487469","1489073","1490226","1491205","1492645","1494074","1495123","1496361","1497908","1499152","1502333","1505897","1507504","1511199","1513956","1517200","1520321","1523122","1524888","1527721","1530431","1532700","1536242","1527830","1529794","1532053","1533514","1535294","1537395","1540342",
"중구","세대수","호","23268","23295","23300","23303","23309","23293","23269","23259","23287","23298","23316","23284","23267","23285","23290","23332","23342","23338","23321","23343","23337","23334","23316","23309","23305","23320","23313","23301","23274","23296","23238","23250","23217","23283","23335","23374","23369","23456","23494","23491","23543","23559","23533","23478","23459","23531","23534","23493","23471","23509","23541","23515","23463","23454","23444","23415","23418","23390","23347","23295","23287","23284","23284","23274","23267","23281","23266","23233","23242","23250","23276","23282","23261","23287","23291","23271","23262","23296","23300","23333","23301","23282","23281","23284","23265","23235","23232","23207","23173","23089","23043","23025","23017","23001","23006","22975","22953","23017","23043","23051","23037","23082","23125","23095","23093","23108","23153","23160","23189","23272","23305","23313","23406","23456","23544","23626","23682","23723","23773","23847","23923","24010","23951","24006","24022","23583","23714","23820","23878",
"서구","세대수","호","53714","53747","53842","53758","53815","53810","53801","53760","53722","53639","53610","53585","53583","53616","53604","53508","53458","53448","53447","53402","53360","53242","53226","53138","53080","53080","53141","53111","53084","53047","53102","53090","53146","53126","53130","53031","52996","53166","53275","53306","53277","53291","53233","53219","53188","53249","53350","53417","53388","53438","53435","53360","53328","53304","53227","53264","53240","53280","53238","53199","53097","53080","53105","53066","53027","53005","52912","52814","52737","52655","52576","52497","52426","52469","52409","52352","52338","52276","52285","52300","52231","52184","52073","51953","51900","52061","52083","52129","52341","52500","52581","52642","52686","52778","52801","52819","52826","52967","53074","53059","53055","52994","52975","52908","52914","52890","52819","52786","52735","52806","52792","52884","53072","53248","53340","53342","53359","53576","53724","53853","53881","53962","52876","53018","53115","53133","53159","53095","53097",
"동구","세대수","호","44076","44095","44070","44129","44154","44286","44275","44248","44229","44276","44259","44192","44135","44167","44151","44165","44136","44100","44093","44031","43952","43947","43920","43859","43837","43838","43805","43810","43800","43694","43597","43588","43604","43577","43577","43528","43492","43486","43465","43471","43447","43467","43486","43481","43523","43631","43691","43728","43749","43710","43726","43738","43691","43726","43739","43673","43611","43569","43477","43430","43333","43322","43324","43268","43213","43142","43088","43074","43067","43035","43053","43036","43088","43155","43159","43110","43093","43078","43100","43203","43311","43393","43427","43413","43443","43460","43427","43386","43347","43326","43239","43222","43247","43287","43272","43261","43314","43309","43306","43319","43356","43337","43379","43784","44075","44328","44473","44657","44734","44894","45356","45578","45755","45873","45954","45994","45985","45994","46003","46003","46081","46128","45786","45865","45918","45911","45930","45914","46046",
